Date,AssetValue
2018-02-02,11011.3134765625
2018-02-05,10737.002258300781
2018-02-06,11184.381256103516
2018-02-07,10945.641479492188
2018-02-08,10645.337677001953
2018-02-09,10775.153198242188
2018-02-12,11207.87338256836
2018-02-13,11319.82894897461
2018-02-14,11527.945861816406
2018-02-15,11913.959503173828
2018-02-16,11875.49560546875
2018-02-20,11835.658111572266
2018-02-21,11782.083587646484
2018-02-22,11880.304260253906
2018-02-23,12086.360778808594
2018-02-26,12324.700012207031
2018-02-27,12284.862518310547
2018-02-28,12266.316833496094
2018-03-01,12052.0166015625
2018-03-02,12135.127716064453
2018-03-05,12177.025604248047
2018-03-06,12166.7236328125
2018-03-07,12054.079132080078
2018-03-08,12185.267181396484
2018-03-09,12394.070892333984
2018-03-12,12513.584442138672
2018-03-13,12393.38623046875
2018-03-14,12303.308410644531
2018-03-15,12313.611145019531
2018-03-16,12288.885192871094
2018-03-19,12208.817291259766
2018-03-20,12207.051239013672
2018-03-21,12090.187377929688
2018-03-22,12018.9501953125
2018-03-23,11903.853759765625
2018-03-26,12134.342803955078
2018-03-27,12003.93783569336
2018-03-28,11949.185638427734
2018-03-29,11987.452850341797
2018-04-02,11955.072937011719
2018-04-03,12005.41000366211
2018-04-04,12100.195922851562
2018-04-05,12135.225372314453
2018-04-06,12005.115661621094
2018-04-09,12054.274444580078
2018-04-10,12148.472595214844
2018-04-11,12124.628143310547
2018-04-12,12174.670867919922
2018-04-13,12192.03842163086
2018-04-16,12224.124908447266
2018-04-17,12295.36117553711
2018-04-18,12283.586120605469
2018-04-19,12135.225372314453
2018-04-20,11926.813354492188
2018-04-23,11912.684936523438
2018-04-24,11844.979858398438
2018-04-25,11865.879516601562
2018-04-26,11882.65884399414
2018-04-27,11826.729278564453
2018-04-30,11913.272705078125
2018-05-01,12026.309661865234
2018-05-02,12246.201934814453
2018-05-03,12255.621795654297
2018-05-04,12459.912109375
2018-05-07,12499.062805175781
2018-05-08,12525.261535644531
2018-05-09,12563.823547363281
2018-05-10,12642.713623046875
2018-05-11,12621.437683105469
2018-05-14,12608.435363769531
2018-05-15,12574.74853515625
2018-05-16,12591.887512207031
2018-05-17,12591.887512207031
2018-05-18,12591.887512207031
2018-05-21,12591.887512207031
2018-05-22,12591.887512207031
2018-05-23,12591.887512207031
